Index,LENGUA_Y,LENGUA_Y2,AUTOR_APELLIDO,AUTOR_NOMBRE,AUTORES2,SEXO,AÑO,MS,TITULO,DATOS_B,IDIOMA,PAIS,ACCESO,N1,N2,BASE
31,n,,William,Bright,,H,1977,,"Review of Let's talk 'Iipay Aa, by Ted Couro, Margaret Langdon et al. Language 53.260-261",n,Inglés,USA,No,n,n,Langdon
32,Yumanas,,William,Bright,,H,1982,,Bibliography of the languages of Native California,"(Native American Bibliography Series 3) Metuchen, N.J.: The Scarecrow Press, Inc",Inglés,USA,No,documentación,n,Langdon
33,Yuma,,William,Bright,,H,nd,ms,A reverse index of Yuma stem morphemes compiled from Halpern 1946-47],n,Inglés,USA,No,morfología,n,Langdon
34,Yumanas,,William,Bright,,H,1964,,Studies in Californian linguistics,University of California Publications in Linguistics 34,Inglés,USA,No,documentación,n,Langdon
35,Yumanas,,William,Bright,,H,1978,,Coyote stories,(IJAL-NATS Monograph 1 ). Chicago: University of Chicago Press,Inglés,USA,Si,documentación,n,Langdon
36,n,,William,Bright,,H,1969,,Archaeology and linguistics in prehistoric Souther California,"Working Papers in Lingusitics, University of Hawaii 1.10.1-26",Inglés,USA,No,n,n,Langdon
37,n,,Bunte,Pamela A.,Martha B. Kendall,M,1981,,When is an error not an error? Notes on language contact and the question of interference,Anthropological Linguistics 23.1-7,Inglés,USA,No,n,n,Langdon
38,n,,Butler,Parris,,H,1993,,Rediscovering tribal values through language,News from Native California 7.3.17-18,Inglés,USA,No,n,n,Langdon
39,n,,Castetter,E.F.,W. H. Bell,M,1951,,Yuman Indian agriculture,Alburquerque: Univerisity of New México Press,Inglés,USA,No,n,n,Langdon
40,Tolkapaya,,Chung,Sandra,,M,1976,,Compound tense markers in Tolkapaya,"Proceedings of the first Yuman languages workshop, ed. By James E. Redden 119-128 (University Museum Studies 7). Carbondale: Souther Illinois University",Inglés,USA,Si,sintaxis,morfología,Langdon
41,Pa ipai,,Clark,R,L. Gorbet,S,1970,ms,Synoptic normalized Paipai data,n,Inglés,USA,No,documentación,n,Langdon
42,Yavapai,,Chung,Sandra,,M,nd,ms,"Yavapai field notes (vols. 1, 2, 3)",n,Inglés,USA,No,documentación,n,Langdon
43,Cocopa,,Cocopah,Mary,Carole C. Nevers,M,1976,,Xtpa ñ-kwañuk Msupa-s (cocopa),"Yuman texts, ed. By Margaret Langdon 134-135 (IJAL-NATS 1.3). Chicago: University of Chicago Press",Inglés,USA,No,documentación,n,Langdon
44,Cocopa,,Coleman,,Nevers,S,1972,ms,Cocopa text,n,Inglés,USA,No,documentación,n,Langdon
45,Diegueño,,Couro,Ted,Christina Hutcheson,H,1973,,Dictionary of Mesa Grande Diegueño,"Banning, CA: Malki Museum Press",Inglés,USA,No,lexicosemántico,n,Langdon
46,Diegueño,,Couro,Ted,Margaret Langdon et al.,H,1975,,Let's talk 'Iipay Aa: An introduction to the Mesa Grande Diegueño language.,"Ramona, CA: Ballena Press.",Inglés,USA,No,documentación,n,Langdon
47,Cocopa,,Crawford,James M.,,H,1966,,The Cocopa language,University of California Berkeley dissertation,Inglés,USA,No,descripción,fonología,Langdon
48,Cocopa,,Crawford,James M.,,H,1970,,Cocopa baby talk,International Journal of American Linguisitics 36.9-3,Inglés,USA,No,documentación,n,Langdon
49,n,,Crawford,James M.,,H,1972,,"Rev. Of A Grammar of Diegueño: The Mesa Grande dialect, by Margaret Langdon",Lingua 30.88-100,Inglés,USA,No,n,n,Langdon
50,Yumanas,,Crawford,James M.,,H,1976,,A comparison of Chimariko and Yuman,"Hokan studies, ed. By Margaret Langdon and Shirley Silver 177-192 (Janua Liinguarum-Series Practica 181). The Hague: Mouton",Inglés,USA,No,descripción,n,Langdon
51,Cocopa,,Crawford,James M.,,H,1976,,"The Cocopa auxiliary verb ya' ""be located, happen'.","Proceedings of the first Yuman languages workshop, ed. By James E. Redden 18-28 (University Museum Studies 7). Carbondale: Souther Illinois University",Inglés,USA,Si,sintaxis,lexicosemántico,Langdon
52,Cocopa,,Crawford,James M.,,H,1976,,The alligator who couldn't turn over,"Yuman texts, ed. By Margaret Langdon 136-152 (IJAL-NATS 1.3). Chicago: University of Chicago Press",Inglés,USA,No,documentación,n,Langdon
53,Cocopa,,Crawford,James M.,,H,1978,,Nominalization in Cocopa,"Proceedings of the 1977 Hokan-Yuman languages workshop, ed by James E. Redden 43-53 (Occasional Papers on Linguisitics, 2). Carbondale: Souther Illinois University",Inglés,USA,No,morfología,n,Langdon
54,n,,Crawford,James M.,,H,1978,,"Rev. Of A Grammar of diegueño nominals, by Larry Gorbet",Language 54.482-485,Inglés,USA,No,n,n,Langdon
55,n,,Crawford,James M.,,H,1978,,"Rev. Of Cochimí and Proto-Yuman: lexical and syntatci evidence for a new language famility in Lower California, by Mauricio Mixco.",Journal of California and Great Basin Anthropology 2.312-313,Inglés,USA,No,n,n,Langdon
56,n,,Crawford,James M.,,H,1978,,"Rev. Of Cochimí and Proto-Yuman: lexical and syntatci evidence for a new language famility in Lower California, by Mauricio Mixco.",American Anthropologist 83.216-217,Inglés,USA,No,n,n,Langdon
57,Cocopa,,Crawford,James M.,,H,1978,,Coyote and his daughter (Cocopa).,"Coyote stories, ed. By William Bright 137-148 (IJAL-NATS Monograph 1). Chicago: University of Chicago Press",Inglés,USA,Si,documentación,n,Langdon
58,Cocopa,,Crawford,James M.,,H,1978,,More on Cocopa baby talk.,International Journal of American Linguistics 44.17-23,Inglés,USA,Si,documentación,n,Langdon
59,Cocopa,,Crawford,James M.,,H,1979,,Spanish loan words in Cocopa,Journal of California and Great Basin Anthropology-Papers in Linguistics 1.117-132,Inglés,USA,No,lexicosemántico,n,Langdon
60,Cocopa,,Crawford,James M.,,H,1983,,Cocopa texts,University of California Publications in Linguistics 100,Inglés,USA,Si,documentación,n,Langdon
61,Cocopa,,Crawford,James M.,,H,1989,,Cocopa dictionary,University of California Publications in Linguistics 114,Inglés,USA,Si,lexicosemántico,n,Langdon
62,Cocopa,,Crawford,James M.,,H,nd,ms,A look at some Cocopa auxiliaries,n,Inglés,USA,No,sintaxis,n,Langdon
63,Cocopa,,Crawford,James M.,,H,nd,ms,Meaning in Cocopa auxiliary verbs,n,Inglés,USA,No,sintaxis,n,Langdon
64,Cocopa,,Crawford,James M.,,H,nd,ms,Classificatory verbs in Cocopa. [to appear],n,Inglés,USA,No,lexicosemántico,n,Langdon
65,Mojave,,Crawford,Judith,,M,1972,ms,Mojave field notes,n,Inglés,USA,No,documentación,n,Langdon
66,Yumanas,,Crawford,Judith,,M,1973,,A comparison of Pomoan and Yuman,Idaho State University M. A. thesis.,Inglés,USA,No,descripción,n,Langdon
67,Mojave,,Crawford,Judith,,M,1973,ms,A note on Mohave sound symbolism,n,Inglés,USA,No,fonología,n,Langdon
68,Yumanas,,Crawford,Judith,,M,1976,,Serie and Yuman,"Hokan studies, ed. By Margaret Langdon and Shirley Silver 305-324 (Janua Liinguarum-Series Practica 181). The Hague: Mouton",Inglés,USA,No,descripción,n,Langdon
69,Mojave,,Crawford,Judith,,M,1976,,Seven Mohave texts.,Yuman texts ed. By Margaret Langdon 31-42 (IJAL-NATS 1.3). Chicago: Unviersity of Chicago Press,Inglés,USA,No,documentación,n,Langdon
70,Mojave,,Crawford,Judith,,M,1976,,The reduction of idú: 'be' in Mohave,"Proceedings of the first Yuman languages Workshop, ed by James E. Redden 45-54. (University Museum Studies 7). Carbondale: Souther Illinois University.",Inglés,USA,Si,sintaxis,morfología,Langdon
71,Mojave,,Crawford,Judith,,M,1978,,Coyote and crane (Mohave),"Coyote stories, ed. By William Bright 121-123 (IJAL-NATS Monograph 1). Chicago: University of Chicago Press",Inglés,USA,Si,documentación,n,Langdon
72,Yumanas,,Crook,"Donald, E.",,H,1976,,Yuman *t,"Proceedings of the first Yuman languages Workshop, ed by James E. Redden 35-44. (University Museum Studies 7). Carbondale: Souther Illinois University.",Inglés,USA,Si,morfología,n,Langdon
73,Havasupai,,Crook,Rena,"Leanne Hinton, Edith Putesoy, Nancy Stenson",M,1977,,Literacy and linguistics: The Havasupai writing system,"Proceedings of the 1976 Hokan-Yuman languages Workshop, ed by James E. Redden 1-16. (University Museum Studies 11). Carbondale: Souther Illinois University.",Inglés,USA,Si,descripción,n,Langdon
74,Havasupai,,Crook,Rena,"Leanne Hinton, Nancy Stenson",M,1976,ms,Havasupai-English dictionary,n,Inglés,USA,No,lexicosemántico,n,Langdon
75,Mojave,Yuma,Curtis,"Edward, S.",,H,1908,,The North American Indian,"Vol.2.123-128. Cambridge, MA: Cambridge University Press [Mojave and Yuma vocabularies].",Inglés,USA,No,documentación,n,Langdon
76,Diegueño,,Curtis,"Edward, S.",,H,1926,,The Diegueños; Tribal Summary; Diegueño vocabulary.,"The North American Indian. Vol. 15-39-53, 166-67, 179-182. Norwood, MA: Plimpton Press. [Reprinted by Johnson Reprint Corporation, 1970.]",Inglés,USA,No,documentación,n,Langdon
77,n,,Davis,"Edward, H",,H,1919,,The Diegueño ceremony of the death images,Contributions of the Museum of the American Indian 5.2.7-33. New York: Heye Foundation,Inglés,USA,No,n,n,Langdon
78,n,,Davis,"Edward, H",,H,1921,,Eartly Cremation Ceremonies of the Luiseño and Diegueño Indians,"Indian Notes and Monographs 7.93-110. New York: Museum of the American Indian, Heye Foundation",Inglés,USA,No,n,n,Langdon
79,n,,Davis,"Edward, H",,H,1967,,Diegueño basketry and pottery,Ed. By Paul G. Chase. Pacific Coast Archaeological Society Quaterly 3.58-64,Inglés,USA,No,n,n,Langdon
80,n,,Davis,"Edward, H",,H,1968,,Yuman Koorook ceremony,Ed. By Helen C. Smith. Pacific Coast Archaeological Society Quaterly 4.35-45,Inglés,USA,No,n,n,Langdon
81,Yumanas,,Dedrick,John,,H,1958,,Panorama de la lingüística de Baja California,"Memoria del Primer Congreso de Histori Regional, Tomo I. 181-194. Mexicali, B.C.",Español,México,No,documentación,n,Langdon
82,n,,Del Barco,Miguel,,H,1973,,Historia natural y crónicas de la antigua California.,México,Español,México,No,n,n,Langdon
83,Yumanas,,DeLancey,Scott,,H,1988,,Papers from the 1988 Hokan-Penutian Languages Workshop,University of Oregon Papers in Linguistics. Publications of the Center of Amerindian Linguisitics and Ethnography 1.,Inglés,USA,No,descripción,n,Langdon
84,n,,Densmore,Frances,,M,1932,,Yuman and Yaqui music,"Bureau of American Ethnology Bulletin 110. Washington, D. C.: United States Government Office",Inglés,USA,No,n,n,Langdon
85,Mojave,,Devereux,George,,H,1949,,Mohave voice and speech mannerisms,Word 5.268-272,Inglés,USA,No,fonología,n,Langdon
86,Mojave,,Devereux,George,,H,1969,,Mohave ethnopsychiatry,"Smithsonian Institution Press (distributed by Random House, first published 1961) [Contains words and proper names in Mohave]",Inglés,USA,No,documentación,n,Langdon
87,n,,Du Bois,Constance Goddard,,M,1905,,Religious ceremonies and myths of the Mission Indians,American Anthropologist 7.620-9,Inglés,USA,No,n,n,Langdon
88,n,,Du Bois,Constance Goddard,,M,1906,,Two types or styles of Diegueño religious dancing--The old and new,International Congress of Americanists 15.2.135-138. Quebec,Inglés,Canada,No,n,n,Langdon
89,n,,Du Bois,Constance Goddard,,M,1907,,Diegueño myths and their connection with the Mojave.,International Congress of Americanists 15.2.129-133. Quebec,Inglés,Canada,No,n,n,Langdon
90,n,,Du Bois,Constance Goddard,,M,1904,,The story of the Caup: A myth of the Diegueños.,The Journal of American Folklore 67.217-242,Inglés,USA,No,n,n,Langdon
91,Diegueño,,Elgin,Suzette,,M,1970,,Some remarks of disambiguating mechanisms in Diegueño,Linguistic Notes from La Jolla 4.44-51,Inglés,USA,No,lexicosemántico,n,Langdon
92,Yumanas,,Elliott,Eric,,H,1993,,How' and 'thus' in UA Cupan and Yuman: A case of areal influence.,n,Inglés,USA,No,sintaxis,pragmática discursiva,Langdon
93,n,,Emerson,Lee,,H,nd,ms,History of the Quechan tribe,n,Inglés,USA,No,n,n,Langdon
94,Yuma,,Emerson,Lee,A. M. Halpern,H,1978,,Coyote and quail.,"Coyote stories, ed. By William Bright 124-136 (IJAL-NATS Monograph 1). Chicago: University of Chicago Press. [Yuma-Quechan]",Inglés,USA,No,documentación,n,Langdon
95,Diegueño,,Epstein,Richard,,H,1990,,Nominalization in Jamul Diegueño,"Proceedings of the 1990 Hokan-Penutian Languages Workshop, ed. By James Redden 1-10 (Occasional Papers in Linguistics 15). Department of Linguistics, Souther Illinois University at Caborndale.",Inglés,USA,Si,morfología,n,Langdon
96,Diegueño,,Epstein,Richard,,H,1991,,Some uses of the demonstrative clitic pu in jamul diegueño,"Papers from the American Indian languages conferences, UCSC, ed. By James E. Reddern 67-79 (Occasional Papers on Linguistics 16) Departament of Linguistics, Souther Illinois University at Carbondale.",Inglés,USA,No,lexicosemántico,n,Langdon
97,Diegueño,,Epstein,Richard,,H,1993,,The definite article: early stages of development,"Historical Linguistics 1991, ed. By Jaap van Marle 111-134 (Current Issues in Linguistic Theory 107). John Benjamins Publishing Company: Amsterdam/Philapdelphia [The use of pu in Jamul Diegueño]",Inglés,USA,No,semantica,n,Langdon
98,Diegueño,,Epstein,Richard,,H,1994,,Discourse and definiteness: syncronic and diachronic perspectives,UCSD dissertation [Chapter V has a section on Jamul Diegueño],Inglés,USA,No,semantica,pragmática discursiva,Langdon
99,Diegueño,,Esztergar,M,,S,1966,ms,A tentative analysis of a Diegueño (Campo) text,n,Inglés,USA,No,sintaxis,lexicosemántico,Langdon
100,Diegueño,,Fauconnier,Gilles,,H,1974,,La coréfénce: syntaxe ou sémantique?,Paris: Le Seuil. [pp.119-123 discuss Diegueño data],Francés,Francia,No,sintaxis,lexicosemántico,Langdon
101,Diegueño,,Fauconnier,Gilles,,H,1979,,Theoretical implications of some global phenomena in syntax,New York: Garland [pp.76ff discuss Diegueño data],Inglés,USA,No,sintaxis,n,Langdon
102,Cocopa,,Flora,Jo-Ann,SND,M,nd,ms,"Analysis of examples in Crawford's ""Meaning in Cocopa axuiliary verbs""",n,Inglés,USA,No,sintaxis,n,Langdon
103,n,,Forbes,Jack D.,,H,1965,,Warriors of the Colorado,n,Inglés,USA,No,n,n,Langdon
104,n,,Forde,C. D.,,S,1931,,Ethnography of the Yuma Indians,n,Inglés,USA,No,n,n,Langdon
105,Yavapai,,Forson,Barn,,H,1977,ms,Yavapai demonstratives,n,Inglés,USA,No,lexicosemántico,semántica,Langdon
106,,,,,,,,,,,,,,,,
107,Maricopa,,Frisch,Jack A.,,H,1968,,Maricopa foods: A native taxonomic system.,International Journal of American Linguisitics 34.16-20,Inglés,USA,No,lexicosemántico,n,Langdon
108,Yumanas,,Frisch,Jack A.,Noel W. Schutz Jr.,H,1967,,Componential analysis and semantic reconstruction: The Proto-Central Yuman kinship system,Ethnology 6.272-293,Inglés,USA,No,lexicosemántico,n,Langdon
109,Diegueño,,Galloway,Anne,,M,nd,ms,SAKAAY: Kumeyaay pottery (Diegueño),n,Inglés,USA,No,documentación,n,Langdon
110,Yumanas,,Gatzchet,Albert S.,,H,1876,,"Analystical report upon Indian dialects spoken in Southern California, Nevada, and on the Lower Colorado River, Appendix JJ","Annual report of the Chief of Engineers for 1876. Washington, D. C.",Inglés,USA,No,documentación,n,Langdon
111,Yumanas,,Gatzchet,Albert S.,,H,1877,,Der Yuma Sprachstamm.,"Zeitschrift für Ethnologie 9.341-350,356-418",Alemán,Alemania,Si,documentación,n,Langdon
112,Yumanas,,Gatzchet,Albert S.,,H,1879,,Classification into seven linguistic stocks of western Indian dialects contained in forty vocabularies.,"Report upone United States geogrpahical surveys west of the 100th meridian, in charge of First Lieutenant George M. Wheeler 7.403-485. Washington: Government Printing Office",Inglés,USA,No,documentación,n,Langdon
113,Yumanas,,Gatzchet,Albert S.,,H,1883,,Der Yuma Sprachstamm,Zweiter Arikel. Zeitschrift für Ethnologie 15.123-147,Alemán,Alemania,Si,documentación,n,Langdon
114,Yumanas,,Gatzchet,Albert S.,,H,1886,,Der Yuma Sprachstamm III,Zeitschrift für Ethnologie 18.97-122,Alemán,Alemania,Si,documentación,n,Langdon
115,Yumanas,,Gatzchet,Albert S.,,H,1892,,Der Yuma Sprachstamm IV,Zeitschrift für Ethnologie 24.1-18,Alemán,Alemania,No,documentación,n,Langdon
116,Yumanas,,Gatzchet,Albert S.,,H,1900,,"The Waikuru, Serie and Yuma languages.",Science 12.556-558,Inglés,USA,No,documentación,n,Langdon
117,Walapai,,Gensler,Orin,,H,1981,,θa and ha in walapai: foregorunding and sound symbolism,Journal of California and Great Basin Anthropology-Papers in Linguistics 3.17-64,Inglés,USA,No,fonología,n,Langdon
118,Yumanas,,Gifford,Edward W.,,H,1922,,California kinship terminologies,University of California Publications in American Archaeology and Ethnology 18.1-285,Inglés,USA,No,lexicosemántico,n,Langdon
119,Kumiay,,Gifford,Edward W.,,H,1931,,The Kamia of Imperial Valley,Bureau of American Ethnology Bulletin 97.,Inglés,USA,No,lexicosemántico,n,Langdon
120,Yavapai,,Gifford,Edward W.,,H,1932,,The Southeastern Yavapai,University of California Publications in American Archaeology and Ethnology 29.177-252,Inglés,USA,No,descripción,n,Langdon
121,Cocopa,,Gifford,Edward W.,,H,1933,,The Cocopa,University of California Publications in American Archaeology and Ethnology 13.257-334,Inglés,USA,No,descripción,n,Langdon
122,Yavapai,,Gifford,Edward W.,,H,1933,,Northeastern and Wester Yavapai myths,Journal of American Folklore 46.347-415,Inglés,USA,No,documentación,n,Langdon
123,Yavapai,,Gifford,Edward W.,,H,1936,,Northeastern and Wester Yavapai,University of California Publications in American Archaeology and Ethnology 34.247-354,Inglés,USA,No,descripción,n,Langdon
124,n,,Gifford,Edward W.,R. H. Lowie,H,1928,,Notes on the Akwa'ala Indians of Lower California,University of California Publications in American Archaeology and Ethnology 23.339-352,Inglés,USA,No,n,n,Langdon
125,Maricopa,,Gil,David,,H,1981,ms,Maricopa xper: semantic evidence for syntatic change,n,Inglés,USA,No,sintaxis,lexicosemántico,Langdon
126,Yavapai,,Glover,Bonnie,,M,1977,ms,Interrogatives in Yavapai,n,Inglés,USA,No,pragmática,n,Langdon
127,Tolkapaya,,Glover,Bonnie,,M,1980,,Tolkpaya demonstratives,"Proceedings of the 1979 Hokan languages workshop, ed. By James E. Redden 43-52 (Occasional papers on Linguistics 7). Department of Linguistics, Southern Illinois University Carbondale",Inglés,USA,No,lexicosemántico,n,Langdon
128,n,,Goldstein,W. M.,,S,1948,,"Rev. Of Comparative vocabularies and parallel texts in two Yuman languages of Arizona, bye Leslie Spier",American Anthropologist 50.108-110,Inglés,USA,No,n,n,Langdon
129,Diegueño,,Gorbet,Larry,,H,1973,,Case markers and complementizers in Diegueño,Working Papers on Language Universals 11.219-222,Inglés,USA,No,sintaxis,n,Langdon
130,Diegueño,,Gorbet,Larry,,H,1973,,How to tell a head when you see one: disambiguation in diegueño relative clasues.,Linguistic Notes from La Jolla 5.63-82,Inglés,USA,No,sintaxis,n,Langdon
131,Diegueño,,Gorbet,Larry,,H,1974,,Relativization and complementation in Diegueño: Noun phrases as nouns,UCSD dissertation,Inglés,USA,No,sintaxis,n,Langdon
132,Diegueño,,Gorbet,Larry,,H,1976,,Diegueño case marking: conditions of optionality,"Proceedings of the first yuman languages workshop, ed. By James E. Redden 10-17 (University Museum Studies 7). Carbondale: Southern Illinois University",Inglés,USA,No,sintaxis,n,Langdon
133,Diegueño,,Gorbet,Larry,,H,1976,,A grammar of diegueño nominals,New york: Garland,Inglés,USA,No,sintaxis,morfología,Langdon
134,Yumanas,,Gorbet,Larry,,H,1977,,Headless relatives in the Southwest: Are they related?,"Berkeley, CA: Berkeley Linguistic Society 3.270-27",Inglés,USA,No,sintaxis,n,Langdon
135,Diegueño,,Gorbet,Larry,,H,1979,,The case marking of Diegueño complement clauses,International Journal of American Linguisitics 45.251-266,Inglés,USA,No,sintaxis,n,Langdon
136,Diegueño,Cocopa,Gorbet,Larry,,H,nd,ms,Subjectivity and variation in desiderative constructions of Diegueño and Cocopa,n,Inglés,USA,No,semantica,pragmatica,Langdon
137,Cocopa,,Gorbet,Larry,,H,nd,ms,"Field notes on Cocopa. [Agnes Sandiego, consultant]",n,Inglés,USA,No,documentación,n,Langdon
138,Tolkapaya,,Gordon,Lynn,,M,1977,ms,Some complex sentences in Tolkapaya,n,Inglés,USA,No,sintaxis,n,Langdon
139,Maricopa,,Gordon,Lynn,,M,1980,,-k and -m in maricopa,"Studies in switch-reference, ed. By Pamela Munro 119-144 (University of California Los Angeles Papers in Linguisitics 8). Los Angeles: University of California",Inglés,USA,No,morfología,n,Langdon
140,Maricopa,,Gordon,Lynn,,M,1986,,Maricopa morphology and sintax,University of California Publications in Linguistics 108,Inglés,USA,No,morfología,sintaxis,Langdon
141,Maricopa,,Gordon,Lynn,,M,1980,,Relative clauses in Maricopa,"Proceedings of the 1979 Hokan languages workshop, ed. By James E. Redden 15-24 (Occasional papers on Linguistics 7). Department of Linguistics, Southern Illinois University Carbondale",Inglés,USA,Si,sintaxis,n,Langdon
142,Maricopa,,Gordon,Lynn,,M,1981,,Evidentials in Maricopa,"Proceedings of the 1980 Hokan languages workshop, ed. By James E. Redden 59-69 (Occasional papers on Linguistics 9). Department of Linguistics, Southern Illinois University Carbondale",Inglés,USA,Si,morfología,sintaxis,Langdon
143,Maricopa,,Gordon,Lynn,,M,1982,,Inferential constructions in Maricopa,"Proceedings of the 1981 Hokan languages workshop and penutian languages workshop, ed. By James E. Redden 15-23 (Occasional papers on Linguistics 10). Department of Linguistics, Southern Illinois University Carbondale",Inglés,USA,Si,semantica,n,Langdon
144,Maricopa,,Gordon,Lynn,,M,1983,,Some Maricopa Auxiliaries,"Proceedinfs of the 1982 conference on Far Western American Indian languages, ed. By James E. Redden 1-12 (Occasional Papers on Linguistics 11). Department of Linguistics, Souther Illinois University Carbondale.",Inglés,USA,Si,sintaxis,n,Langdon
145,Maricopa,,Gordon,Lynn,,M,1986,,The development of evidentials in Maricopa. Evidentiality: The linguistic coding of epistemology,Ed. By Wallace Chafe and Johana Nichols 75-88. Ablex Publishing Co: Norwood NJ.,Inglés,USA,No,morfología,sintaxis,Langdon
